date,price,total_volume,market_cap,coin_name
2015-01-01 00:00:00.000,0.0001831137664795,283845.50064059364,17803324.487520907,dogecoin
2015-01-02 00:00:00.000,0.000183525729778,363741.7390893859,17847327.829851262,dogecoin
2015-01-03 00:00:00.000,0.0001678160253089,270052.2360252805,16323200.16345194,dogecoin
2015-01-04 00:00:00.000,0.0001581355927103,353697.8604820448,15385008.373915909,dogecoin
2015-01-05 00:00:00.000,0.0001603355629293,554935.7357818793,15602472.33662792,dogecoin
2015-01-06 00:00:00.000,0.000168992435625,287943.3202769786,16448463.56190488,dogecoin
2015-01-07 00:00:00.000,0.0001734886767812,384231.5537016483,16889825.69755201,dogecoin
2015-01-08 00:00:00.000,0.0001691201979205,324927.0439931743,16468151.135741305,dogecoin
2015-01-09 00:00:00.000,0.0001710066059596,384908.83440603694,16655517.074789329,dogecoin
2015-01-10 00:00:00.000,0.0001637003402635,304876.74591564666,15947420.962715449,dogecoin
2015-01-11 00:00:00.000,0.0001606266982707,131901.76611096354,15651426.830625802,dogecoin
2015-01-12 00:00:00.000,0.0001568983352171,352221.01490050746,15291501.08199948,dogecoin
2015-01-13 00:00:00.000,0.0001339784049803,521096.8354411071,13060605.880534803,dogecoin
2015-01-14 00:00:00.000,0.0001141626196339,563943.5900255479,11131350.477998309,dogecoin
2015-01-15 00:00:00.000,0.0001405072675572,755070.8241633013,13701628.580790237,dogecoin
2015-01-16 00:00:00.000,0.0001406177768572,533320.2640525757,13715435.97476578,dogecoin
2015-01-17 00:00:00.000,0.0001355270498644,245195.8197028197,13221857.129972614,dogecoin
2015-01-18 00:00:00.000,0.0001380931969469,268768.2844824149,13475161.2063957,dogecoin
2015-01-19 00:00:00.000,0.0001404954634878,350070.50844536925,13712589.629115136,dogecoin
2015-01-20 00:00:00.000,0.0001410960358787,370984.2391960307,13774233.530484367,dogecoin
2015-01-21 00:00:00.000,0.0001531236249056,554826.7255391016,14951688.17392989,dogecoin
2015-01-22 00:00:00.000,0.0001549701916133,376078.9893244816,15136989.166790972,dogecoin
2015-01-23 00:00:00.000,0.0001558257986637,285970.87016860896,15223921.238282464,dogecoin
2015-01-24 00:00:00.000,0.000166024078308,296279.00057284965,16223888.923208272,dogecoin
2015-01-25 00:00:00.000,0.0001677139062713,310219.9208704281,16392644.697832126,dogecoin
2015-01-26 00:00:00.000,0.0001632804238374,644787.5878185873,15962842.927596131,dogecoin
2015-01-27 00:00:00.000,0.0001594845415483,502940.4545587866,15591744.719203511,dogecoin
2015-01-29 00:00:00.000,0.0001448878491876,213944.71922569617,14173979.943110298,dogecoin
2015-01-30 00:00:00.000,0.000141910596725,183094.7343759519,13885525.2832997,dogecoin
2015-01-31 00:00:00.000,0.000138354237727,204444.54671794552,13540511.947591512,dogecoin
2015-02-01 00:00:00.000,0.0001437397894752,173339.73194964186,14070637.549415683,dogecoin
2015-02-02 00:00:00.000,0.0001508348885725,155861.892045147,14768461.381304609,dogecoin
2015-02-03 00:00:00.000,0.0001458445656691,261213.6712384679,14282973.17623866,dogecoin
2015-02-04 00:00:00.000,0.0001451992331448,169819.3734829712,14222846.462170696,dogecoin
2015-02-05 00:00:00.000,0.0001397586835397,120768.89269502684,13692889.269821191,dogecoin
2015-02-06 00:00:00.000,0.0001441277342183,70579.22993410037,14124030.271990295,dogecoin
2015-02-07 00:00:00.000,0.0001450535172869,76616.0084892524,14217880.825953284,dogecoin
2015-02-08 00:00:00.000,0.0001416469255872,95512.6412502202,13887014.176683985,dogecoin
2015-02-09 00:00:00.000,0.0001405522233699,67216.40988131243,13782690.41983904,dogecoin
2015-02-10 00:00:00.000,0.0001398243440906,63057.41131799414,13714326.208135149,dogecoin
2015-02-11 00:00:00.000,0.0001384318979907,67361.0773453311,13580705.43723223,dogecoin
2015-02-12 00:00:00.000,0.0001407223221224,52875.72222519077,13808427.476817682,dogecoin
2015-02-13 00:00:00.000,0.0001429196020157,132843.3220784925,14027110.978795351,dogecoin
2015-02-14 00:00:00.000,0.0001505739946475,145686.08679226745,14781593.656966127,dogecoin
2015-02-15 00:00:00.000,0.0001411269090362,156292.86226284676,13857226.31646614,dogecoin
2015-02-16 00:00:00.000,0.0001440185768861,65290.25853977374,14144234.71707467,dogecoin
2015-02-17 00:00:00.000,0.0001456355090411,48121.42596908502,14306162.074009525,dogecoin
2015-02-18 00:00:00.000,0.0001411559749786,47082.90994122504,13866125.569611063,dogecoin
2015-02-19 00:00:00.000,0.0001442317948499,38738.56288514293,14168271.508325497,dogecoin
2015-02-20 00:00:00.000,0.0001429608008966,46557.02527854667,14043418.403404746,dogecoin
2015-02-21 00:00:00.000,0.0001433277145681,36100.275886498515,14079461.305895532,dogecoin
2015-02-22 00:00:00.000,0.0001402116340543,38618.59039571809,13773360.457557555,dogecoin
2015-02-23 00:00:00.000,0.0001408423364769,39948.08637068939,13835316.02826744,dogecoin
2015-02-24 00:00:00.000,0.0001413551373143,45444.00745824232,13885689.813750245,dogecoin
2015-02-25 00:00:00.000,0.0001423687354122,79266.2345016403,14009543.34667823,dogecoin
2015-02-26 00:00:00.000,0.0001423075469369,59735.79485525501,14005396.220873842,dogecoin
2015-02-27 00:00:00.000,0.0001457183452562,121026.0053100756,14342974.5833118,dogecoin
2015-02-28 00:00:00.000,0.0001445617112588,63101.29666039275,14231008.091558143,dogecoin
2015-03-01 00:00:00.000,0.0001458840822602,80891.23446872486,14363099.001620833,dogecoin
2015-03-02 00:00:00.000,0.000145354402505,61724.65086200613,14312857.418274656,dogecoin
2015-03-03 00:00:00.000,0.0001432170476052,97246.47631845193,14104284.992322491,dogecoin
2015-03-04 00:00:00.000,0.0001427455584755,91110.71412423742,14059711.406437024,dogecoin
2015-03-05 00:00:00.000,0.0001402008916365,83146.45908848579,13810911.00358276,dogecoin
2015-03-06 00:00:00.000,0.0001405873981065,43612.42919647078,13850802.017666264,dogecoin
2015-03-07 00:00:00.000,0.0001402809754515,30458.76556722998,13822358.833760057,dogecoin
2015-03-08 00:00:00.000,0.0001398690864923,50154.05443160497,13782366.853683824,dogecoin
2015-03-09 00:00:00.000,0.0001424114907857,47940.80883648983,14034769.401847294,dogecoin
2015-03-10 00:00:00.000,0.0001390459226183,89275.46927750834,13704906.459467348,dogecoin
2015-03-11 00:00:00.000,0.0001431425654019,99079.843402805,14110525.062943518,dogecoin
2015-03-12 00:00:00.000,0.0001420571074374,72057.49639750378,14005374.717923284,dogecoin
2015-03-13 00:00:00.000,0.0001405246682054,86207.17636587535,13856093.866548069,dogecoin
2015-03-14 00:00:00.000,0.0001424621367461,98339.39157479734,14048975.49007999,dogecoin
2015-03-15 00:00:00.000,0.0001415152303896,63421.23347682196,13957425.77656962,dogecoin
2015-03-16 00:00:00.000,0.0001442812544677,65645.01205966143,14232081.963148177,dogecoin
2015-03-17 00:00:00.000,0.0001433076803605,75960.97692811071,14137909.455362145,dogecoin
2015-03-18 00:00:00.000,0.0001309760132581,119477.155008804,12922979.167017316,dogecoin
2015-03-19 00:00:00.000,0.0001335648236842,101730.9537755353,13181321.925050246,dogecoin
2015-03-20 00:00:00.000,0.00013186525088,38442.2930851421,13015294.656422662,dogecoin
2015-03-21 00:00:00.000,0.0001307854355888,81265.82869084897,12910396.999198675,dogecoin
2015-03-22 00:00:00.000,0.000132127496961,121567.75157846564,13044561.46666189,dogecoin
2015-03-23 00:00:00.000,0.0001366310431392,154789.48750462892,13490933.088858176,dogecoin
2015-03-24 00:00:00.000,0.0001292849719853,100603.64665482828,12767257.317178398,dogecoin
2015-03-25 00:00:00.000,0.0001301269898651,85130.53821137096,12852096.817252005,dogecoin
2015-03-26 00:00:00.000,0.000131240118825,55426.562979159346,12963689.060181184,dogecoin
2015-03-27 00:00:00.000,0.0001274011490628,35617.301740404546,12586160.70437458,dogecoin
2015-03-28 00:00:00.000,0.0001303783718843,48858.4956800977,12880285.24846278,dogecoin
2015-03-29 00:00:00.000,0.0001260962740451,63575.62493800517,12457250.040748648,dogecoin
2015-03-30 00:00:00.000,0.0001261211987774,39920.907434381144,12459712.394418128,dogecoin
2015-03-31 00:00:00.000,0.0001245357970472,54705.524580133286,12303088.053864932,dogecoin
2015-04-01 00:00:00.000,0.0001262202999291,75085.45260102981,12477676.075119471,dogecoin
2015-04-02 00:00:00.000,0.0001269681634855,39287.90244222437,12553265.501982383,dogecoin
2015-04-03 00:00:00.000,0.0001271436689333,37501.009170916856,12572282.10206807,dogecoin
2015-04-04 00:00:00.000,0.0001259882083423,29687.461187524965,12459645.677992746,dogecoin
2015-04-05 00:00:00.000,0.0001250901249831,67830.6386435785,12372449.97882108,dogecoin
2015-04-06 00:00:00.000,0.0001230470562087,39017.374653131126,12171918.34045562,dogecoin
2015-04-07 00:00:00.000,0.0001207586643108,36241.4941020314,11945548.688303908,dogecoin
2015-04-08 00:00:00.000,0.0001161675416273,43220.55229108568,11494392.504596837,dogecoin
2015-04-09 00:00:00.000,0.0001151274343228,45382.36441507407,11392924.914903328,dogecoin
2015-04-10 00:00:00.000,0.0001122516757438,55845.22068603766,11108341.993756434,dogecoin
2015-04-11 00:00:00.000,0.0001138920092402,34875.40735698452,11270668.171436995,dogecoin
2015-04-12 00:00:00.000,0.0001124365987939,24847.78903231777,11126641.840676866,dogecoin
2015-04-13 00:00:00.000,0.0001067864061352,50217.774624672995,10572994.90554381,dogecoin
2015-04-14 00:00:00.000,0.0001021991643644,69576.45613585963,10120125.448732223,dogecoin
2015-04-15 00:00:00.000,0.000105309148094,52107.49835445686,10429463.011665594,dogecoin
2015-04-16 00:00:00.000,0.0001084069091793,49525.42352433848,10737647.29976804,dogecoin
2015-04-17 00:00:00.000,0.000106998901229,52561.38841158783,10599570.456995614,dogecoin
2015-04-18 00:00:00.000,0.0001053706485754,21792.57092203075,10439627.844013762,dogecoin
2015-04-19 00:00:00.000,0.0001060685945124,29533.39974057848,10508777.041978706,dogecoin
2015-04-20 00:00:00.000,0.0001028844798998,48398.18611012488,10195954.857471164,dogecoin
2015-04-21 00:00:00.000,0.0001094828464343,47547.87478822476,10851266.990020324,dogecoin
2015-04-22 00:00:00.000,0.0001097494144166,65550.58366173854,10879105.187150028,dogecoin
2015-04-23 00:00:00.000,0.0001090008906237,51429.99579165283,10806295.485074228,dogecoin
2015-04-24 00:00:00.000,0.0001042349689707,78423.71531444049,10335151.325405762,dogecoin
2015-04-25 00:00:00.000,0.0001033500255699,37458.263729207494,10248726.455862328,dogecoin
2015-04-26 00:00:00.000,9.902880998164614e-05,67470.5740955757,9821480.655130183,dogecoin
2015-04-27 00:00:00.000,0.0001043614700883,72033.55090402171,10351703.797983645,dogecoin
2015-04-28 00:00:00.000,9.863301675992704e-05,35401.02126639349,9784772.80107071,dogecoin
2015-04-29 00:00:00.000,9.850709808648278e-05,39604.883302248534,9773543.853623489,dogecoin
2015-04-30 00:00:00.000,0.0001027201061974,54144.80924376014,10192849.694294885,dogecoin
2015-05-01 00:00:00.000,9.902770539045052e-05,94331.04368541688,9827740.647975303,dogecoin
2015-05-02 00:00:00.000,9.781801805010743e-05,53063.62389766017,9708918.079558987,dogecoin
2015-05-03 00:00:00.000,9.076129014659312e-05,85958.36569641423,9009657.107141364,dogecoin
2015-05-04 00:00:00.000,9.072412992940637e-05,60677.14603890436,9007125.459945546,dogecoin
2015-05-05 00:00:00.000,8.851408162077307e-05,60213.29936873516,8788832.46521041,dogecoin
2015-05-06 00:00:00.000,8.690375727008734e-05,42482.0372925374,8628938.461073738,dogecoin
2015-05-07 00:00:00.000,8.895605397667906e-05,34793.81874823975,8832717.245114181,dogecoin
2015-05-08 00:00:00.000,9.174831192698044e-05,37243.80363047003,9109969.032349484,dogecoin
2015-05-09 00:00:00.000,9.20434400877998e-05,36147.68325553107,9139273.205354633,dogecoin
2015-05-10 00:00:00.000,9.103290159943238e-05,46572.36043877657,9038933.76431564,dogecoin
2015-05-11 00:00:00.000,9.0984480687468e-05,51278.708296785946,9034125.904647715,dogecoin
2015-05-12 00:00:00.000,0.0001101101908825,175089.7161226691,10933175.859235656,dogecoin
2015-05-13 00:00:00.000,0.0001150019243038,461926.5660392899,11418890.953569924,dogecoin
2015-05-14 00:00:00.000,0.0001138871211171,200268.08302662164,11308198.753419314,dogecoin
2015-05-15 00:00:00.000,0.0001201515491037,158610.22797345312,11930212.867518682,dogecoin
2015-05-16 00:00:00.000,0.0001161892571791,84499.99386563901,11536784.84718621,dogecoin
2015-05-17 00:00:00.000,0.0001147357870982,64247.55013181635,11392465.380714318,dogecoin
2015-05-18 00:00:00.000,0.00011531499061,60363.66754590908,11449976.259611426,dogecoin
2015-05-19 00:00:00.000,0.0001192411215817,222206.08136509988,11839813.748914214,dogecoin
2015-05-20 00:00:00.000,0.0001324385008578,294958.79335489473,13150221.689808184,dogecoin
2015-05-21 00:00:00.000,0.0001326056796686,141358.55004494896,13166821.382567966,dogecoin
2015-05-22 00:00:00.000,0.0001402995283679,264623.69805265864,13961418.297024824,dogecoin
2015-05-23 00:00:00.000,0.0001386604484837,389118.5309562192,13800130.078903006,dogecoin
2015-05-24 00:00:00.000,0.0001422172519314,241493.1858293175,14155938.737656465,dogecoin
2015-05-25 00:00:00.000,0.0001410868193753,202518.71629685868,14045221.292170975,dogecoin
2015-05-26 00:00:00.000,0.0001602331814353,417419.6479794097,15953296.030614108,dogecoin
2015-05-27 00:00:00.000,0.000182441430491,327968.103932399,18166714.644204143,dogecoin
2015-05-28 00:00:00.000,0.0001921510076315,901516.6489653272,19135944.448019966,dogecoin
2015-05-29 00:00:00.000,0.0001752740498295,211915.0346482503,17457415.392615985,dogecoin
2015-05-30 00:00:00.000,0.0001612557277528,495006.69743127015,16063206.216484249,dogecoin
2015-05-31 00:00:00.000,0.0001533681544372,342078.34584289155,15279410.25837943,dogecoin
2015-06-01 00:00:00.000,0.0001420010727084,345660.9443736061,14148765.178538952,dogecoin
2015-06-02 00:00:00.000,0.0001589434980945,799033.5848853521,15838911.335039672,dogecoin
2015-06-03 00:00:00.000,0.0001509322906767,406127.51531856926,15040584.85110238,dogecoin
2015-06-04 00:00:00.000,0.0001484931550613,27698.00575001147,14797522.044454211,dogecoin
2015-06-05 00:00:00.000,0.0001520399447463,145815.0944834938,15150963.91541572,dogecoin
2015-06-06 00:00:00.000,0.000157496234372,143737.1145017458,15694689.759102557,dogecoin
2015-06-07 00:00:00.000,0.0001524607488879,23974.735460098607,15192897.555787563,dogecoin
2015-06-08 00:00:00.000,0.0001586936233873,130165.2381174552,15814011.019011527,dogecoin
2015-06-09 00:00:00.000,0.0001611036623546,204757.16519792375,16054174.30958481,dogecoin
2015-06-10 00:00:00.000,0.0001544227821702,168557.2413735295,15388416.539370071,dogecoin
2015-06-11 00:00:00.000,0.000155342046343,116433.66717167554,15480022.323193444,dogecoin
2015-06-12 00:00:00.000,0.0001555866593657,106598.39865445372,15504398.306013832,dogecoin
2015-06-13 00:00:00.000,0.0001618023869648,193564.7747682336,16123803.059933929,dogecoin
2015-06-14 00:00:00.000,0.0001642942329079,296797.0832401707,16372118.514331833,dogecoin
2015-06-15 00:00:00.000,0.0001671572657712,142225.01927606598,16657423.19313534,dogecoin
2015-06-16 00:00:00.000,0.0001932911470216,744821.1004519531,19261695.987727266,dogecoin
